1  core   0: >>>>  
240  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
241  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
242  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
243  core   0: >>>>  __crt0_bss_clear
243  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
244  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
245  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
246  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
247  core   0: >>>>  __crt0_bss_clear
247  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
248  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
249  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
250  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
251  core   0: >>>>  __crt0_bss_clear
251  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
252  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
253  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
254  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
255  core   0: >>>>  __crt0_bss_clear
255  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
256  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
257  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
258  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
259  core   0: >>>>  __crt0_bss_clear
259  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
260  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
261  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
262  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
263  core   0: >>>>  __crt0_bss_clear
263  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
264  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
265  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
266  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
267  core   0: >>>>  __crt0_bss_clear
267  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
268  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
269  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
270  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
271  core   0: >>>>  __crt0_bss_clear
271  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
272  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
273  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
274  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
275  core   0: >>>>  __crt0_bss_clear
275  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
276  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
277  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
278  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
279  core   0: >>>>  __crt0_bss_clear
279  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
280  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
